Date,Price
1/1/00,-0.050903549
2/1/00,-0.020108083
3/1/00,0.096719828
4/1/00,-0.030795756
5/1/00,-0.021915051
6/1/00,0.02393355
7/1/00,-0.016341276
8/1/00,0.060699105
9/1/00,-0.053482975
10/1/00,-0.004949486
11/1/00,-0.08006861
12/1/00,0.004053446
1/1/01,0.034636577
2/1/01,-0.092290736
3/1/01,-0.064204711
4/1/01,0.076814362
5/1/01,0.005090187
6/1/01,-0.025035389
7/1/01,-0.01074015
8/1/01,-0.064108407
9/1/01,-0.081723406
10/1/01,0.018099111
11/1/01,0.075175904
12/1/01,0.007573834
1/1/02,-0.015573833
2/1/02,-0.020766211
3/1/02,0.036738894
4/1/02,-0.061417626
5/1/02,-0.009081481
6/1/02,-0.072455354
7/1/02,-0.079004275
8/1/02,0.004881433
9/1/02,-0.110024318
10/1/02,0.086448801
11/1/02,0.057069621
12/1/02,-0.060332573
1/1/03,-0.027414693
2/1/03,-0.017003609
3/1/03,0.008357569
4/1/03,0.081044107
5/1/03,0.05089871
6/1/03,0.011322215
7/1/03,0.016223702
8/1/03,0.017873203
9/1/03,-0.011944365
10/1/03,0.054961486
11/1/03,0.007128504
12/1/03,0.050765541
1/1/04,0.017276387
2/1/04,0.012208973
3/1/04,-0.016358919
4/1/04,-0.016790752
5/1/04,0.01208345
6/1/04,0.017988999
7/1/04,-0.034290519
8/1/04,0.00228735
9/1/04,0.009363876
10/1/04,0.014014244
11/1/04,0.038594936
12/1/04,0.032458213
1/1/05,-0.025290467
2/1/05,0.018903346
3/1/05,-0.019117656
4/1/05,-0.020108582
5/1/05,0.029952046
6/1/05,-0.000142714
7/1/05,0.035968287
8/1/05,-0.011222105
9/1/05,0.006949025
10/1/05,-0.01774078
11/1/05,0.035186096
12/1/05,-0.000952349
1/1/06,0.025466771
2/1/06,0.000453158
3/1/06,0.01109581
4/1/06,0.012155653
5/1/06,-0.030916916
6/1/06,8.66E-05
7/1/06,0.005085879
8/1/06,0.021274193
9/1/06,0.024566299
10/1/06,0.031508003
11/1/06,0.016466657
12/1/06,0.012615783
1/1/07,0.014059043
2/1/07,-0.021846176
3/1/07,0.009979983
4/1/07,0.043290691
5/1/07,0.032549229
6/1/07,-0.017816322
7/1/07,-0.031981878
8/1/07,0.012863572
9/1/07,0.035794008
10/1/07,0.014822338
11/1/07,-0.044043417
12/1/07,-0.008628509
1/1/08,-0.061163432
2/1/08,-0.034761193
3/1/08,-0.005959624
4/1/08,0.047546698
5/1/08,0.010674182
6/1/08,-0.085962385
7/1/08,-0.009859371
8/1/08,0.012190465
9/1/08,-0.090791434
10/1/08,-0.169424524
11/1/08,-0.074849043
12/1/08,0.007821577
1/1/09,-0.085657343
2/1/09,-0.109931198
3/1/09,0.085404462
4/1/09,0.09392508
5/1/09,0.053081446
6/1/09,0.000195827
7/1/09,0.074141727
8/1/09,0.033560189
9/1/09,0.035723346
10/1/09,-0.019762001
11/1/09,0.057364062
12/1/09,0.017770571
1/1/10,-0.036974246
2/1/10,0.028513689
3/1/10,0.058796426
4/1/10,0.01475923
5/1/10,-0.081975842
6/1/10,-0.053882442
7/1/10,0.06877785
8/1/10,-0.047449184
9/1/10,0.087551103
10/1/10,0.036855994
11/1/10,-0.00229025
12/1/10,0.06530004
1/1/11,0.022645574
2/1/11,0.031956564
3/1/11,-0.001047313
4/1/11,0.02849538
5/1/11,-0.013500953
6/1/11,-0.018257461
7/1/11,-0.021474426
8/1/11,-0.056791107
9/1/11,-0.071761988
10/1/11,0.107723039
11/1/11,-0.005058715
12/1/11,0.008532764
1/1/12,0.043583062
2/1/12,0.040589464
3/1/12,0.031332315
4/1/12,-0.007497453
5/1/12,-0.062650726
6/1/12,0.039554982
7/1/12,0.012597574
8/1/12,0.01976337
9/1/12,0.024236154
10/1/12,-0.01978941
11/1/12,0.002846717
12/1/12,0.00706823
1/1/13,0.050428097
2/1/13,0.011060649
3/1/13,0.035987724
4/1/13,0.018085768
5/1/13,0.020762812
6/1/13,-0.014999302
7/1/13,0.04946208
8/1/13,-0.031298019
9/1/13,0.029749523
10/1/13,0.044595753
11/1/13,0.028049472
12/1/13,0.023562792
1/1/14,-0.035582906
2/1/14,0.04311703
3/1/14,0.006932166
4/1/14,0.006200789
5/1/14,0.02103028
6/1/14,0.019058332
7/1/14,-0.015079831
8/1/14,0.037655295
9/1/14,-0.015513837
10/1/14,0.023201461
11/1/14,0.024533589
12/1/14,-0.004188588
1/1/15,-0.031040806
2/1/15,0.054892511
3/1/15,-0.017396107
4/1/15,0.00852082
5/1/15,0.010491382
6/1/15,-0.021011672
7/1/15,0.01974203
8/1/15,-0.062580818
9/1/15,-0.026442832
10/1/15,0.082983118
11/1/15,0.000504869
12/1/15,-0.017530185
1/1/16,-0.050735322
2/1/16,-0.00412836
3/1/16,0.065991115
4/1/16,0.002699398
5/1/16,0.015324602
6/1/16,0.000910921
7/1/16,0.035609801
8/1/16,-0.001219243
9/1/16,-0.001234451
10/1/16,-0.019425679
11/1/16,0.034174522
12/1/16,0.018200762
1/1/17,0.017884358
2/1/17,0.03719816
3/1/17,-0.000389197
4/1/17,0.009091209
5/1/17,0.011576251
6/1/17,0.004813775
7/1/17,0.019348826
8/1/17,0.000546433
9/1/17,0.019302979
10/1/17,0.022188135
11/1/17,0.003720043
12/1/17,0.034342557
1/1/18,0.056178704
2/1/18,-0.038947372
3/1/18,-0.026884499
